id;slug;userid;categoryid;productid;tourid;evenementid;tourgroupid;alert;alert_evenement;followchild;createdat;updatedat
1;Computers;85587;7661;37806;61003;49084;18511;true;false;false;2020-02-12T05:19:16;2020-02-12T03:52:24
2;multi-byte online;24479;58087;27655;28515;80564;13343;true;true;true;2020-02-11T20:01:23;2020-02-11T15:58:23
3;bypass Metal;79272;65636;72804;21860;72363;21865;true;true;false;2020-02-11T17:37:27;2020-02-11T16:09:41
4;PCI invoice;63246;94687;4447;76696;62504;86022;false;false;false;2020-02-11T20:14:14;2020-02-12T02:44:34
5;hardware;38476;91816;23164;78512;38198;54267;false;false;true;2020-02-11T19:55:51;2020-02-11T23:56:00
6;Vietnam ivory Checking Account;37512;65401;68287;28671;6944;83704;true;true;false;2020-02-11T16:48:31;2020-02-12T08:42:57
7;Graphical User Interface Money Market Account indigo;78010;81105;54063;63981;6937;39633;false;true;false;2020-02-11T14:38:34;2020-02-11T18:08:56
8;Toys Bahamas;21959;90500;65832;42058;17250;70857;false;false;false;2020-02-11T18:43:01;2020-02-11T12:45:08
9;strategic;99483;48256;18754;39108;39253;12533;true;false;true;2020-02-11T19:57:01;2020-02-11T14:05:07
10;Plastic Michigan green;41238;66717;90563;75844;15889;94875;true;false;false;2020-02-11T22:33:50;2020-02-11T23:09:01
